bout_date,year,month,sex_cd,site_name,dive_time,success_cd,preytype_cd,prey_qty,preysize_cd,ageclass_cd,dive_num,visibility_cd,area_cd,bout_id,phylum
1993-04-17,1993,4,f,Inian,97,y,sag,1,1z,a,5,un,SICY,19930417leb6,Mollusca
1993-04-17,1993,4,f,Inian,NA,y,sag,1,2z,a,6,un,SICY,19930417leb6,Mollusca
1993-04-17,1993,4,f,Inian,63,y,mys,1,2z,a,7,un,SICY,19930417leb6,Mollusca
1993-04-17,1993,4,f,Inian,73,y,sag,NA,9z,a,8,un,SICY,19930417leb6,Mollusca
1993-04-17,1993,4,f,Inian,NA,y,sag,1,2z,a,9,un,SICY,19930417leb6,Mollusca
1993-04-17,1993,4,f,Inian,63,y,sag,1,2z,a,11,un,SICY,19930417leb6,Mollusca
1993-04-17,1993,4,f,Inian,68,y,sag,1,2z,a,12,un,SICY,19930417leb6,Mollusca
1993-04-17,1993,4,f,Inian,54,y,sag,1,1z,a,13,un,SICY,19930417leb6,Mollusca
1993-04-17,1993,4,f,Inian,41,n,,NA,,a,14,un,SICY,19930417leb6,NA
1993-04-17,1993,4,m,Inian,NA,y,sag,2,2z,a,1,un,SICY,19930417leb7,Mollusca
1993-04-17,1993,4,m,Inian,69,y,sag,3,2z,a,2,un,SICY,19930417leb7,Mollusca
1993-04-17,1993,4,m,Inian,77,y,sag,2,2z,a,3,un,SICY,19930417leb7,Mollusca
1993-04-17,1993,4,m,Inian,66,y,sag,1,1z,a,4,un,SICY,19930417leb7,Mollusca
1993-04-17,1993,4,m,Inian,65,y,sag,2,2z,a,5,un,SICY,19930417leb7,Mollusca
1993-04-17,1993,4,m,Inian,62,y,sag,1,1z,a,6,un,SICY,19930417leb7,Mollusca
1993-04-17,1993,4,m,Inian,62,y,sag,1,2z,a,6,un,SICY,19930417leb7,Mollusca
1993-04-17,1993,4,m,Inian,40,y,mus,1,1z,a,7,un,SICY,19930417leb7,Mollusca
1993-04-17,1993,4,m,Inian,70,y,sag,1,2z,a,8,un,SICY,19930417leb7,Mollusca
1993-04-18,1993,4,f,Inian,152,y,mas,1,2z,a,1,un,SICY,19930418jlb1,Mollusca
1993-04-18,1993,4,f,Inian,123,y,mas,2,2z,a,2,un,SICY,19930418jlb1,Mollusca
1993-04-18,1993,4,f,Inian,134,y,cla,2,2z,a,3,un,SICY,19930418jlb1,Mollusca
1993-04-18,1993,4,f,Inian,99,y,cla,2,2z,a,4,un,SICY,19930418jlb1,Mollusca
1993-04-18,1993,4,f,Inian,50,y,mas,2,2z,a,5,un,SICY,19930418jlb1,Mollusca
1993-04-18,1993,4,f,Inian,142,y,mas,4,2z,a,1,un,SICY,19930418jlb2,Mollusca
1993-04-18,1993,4,f,Inian,108,y,mas,4,2z,a,2,un,SICY,19930418jlb2,Mollusca
1993-04-18,1993,4,f,Inian,132,y,mas,5,2z,a,3,un,SICY,19930418jlb2,Mollusca
1993-04-18,1993,4,f,Inian,95,y,mas,5,2z,a,4,un,SICY,19930418jlb2,Mollusca
1993-04-18,1993,4,f,Inian,143,y,mas,3,2z,a,5,un,SICY,19930418jlb2,Mollusca
1993-04-18,1993,4,f,Inian,106,y,mas,1,2z,a,6,un,SICY,19930418jlb2,Mollusca
1993-04-18,1993,4,f,Inian,104,y,mas,4,2z,a,7,un,SICY,19930418jlb2,Mollusca
1993-04-18,1993,4,f,Inian,99,y,mas,3,2z,a,8,un,SICY,19930418jlb2,Mollusca
1993-04-18,1993,4,f,Inian,99,y,mas,3,2z,a,9,un,SICY,19930418jlb2,Mollusca
1993-04-18,1993,4,f,Inian,96,y,mas,1,1z,a,10,un,SICY,19930418jlb2,Mollusca
